"Component","Version","Latest version","CVE","Matching type","CVSS","CVE publication date","Object compilation date","Object","Object full path","Object SHA1","CVSS3","CVSS vector (v2)","CVSS vector (v3)","Distribution package","CVSS (Distribution)","CVSS3 (Distribution)","Triage vectors","Note type","Note reason","Vulnerability URL"
"curl","","7.70.0","CVE-2016-4606","Exact match (timestamp)","7.5","2020-02-21T02:15:00Z","2019-10-17T20:46:32Z","Icon.Icon_SC_CMCC1.A961A077_4BD0_4C98_86BC_EE4A98CE550D.exe","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/DeviceXPlorer OPC Server 6 (x64).msi:ISSetupFile.SetupFile1:CodeMeterRuntime32.msi:Icon.Icon_SC_CMCC1.A961A077_4BD0_4C98_86BC_EE4A98CE550D.exe","f95f96b0ffb052586366c051df7870d7f816ca41","9.8","AV:N/AC:L/Au:N:/C:P/I:P/A:P","AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2016-4606"
"curl","","7.70.0","CVE-2016-4606","Exact match (timestamp)","7.5","2020-02-21T02:15:00Z","2019-10-17T20:46:32Z","Icon.Icon_SC_CMCC.A961A077_4BD0_4C98_86BC_EE4A98CE550D.exe","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/DeviceXPlorer OPC Server 6 (x64).msi:ISSetupFile.SetupFile1:CodeMeterRuntime32.msi:Icon.Icon_SC_CMCC.A961A077_4BD0_4C98_86BC_EE4A98CE550D.exe","f95f96b0ffb052586366c051df7870d7f816ca41","9.8","AV:N/AC:L/Au:N:/C:P/I:P/A:P","AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2016-4606"
"curl","","7.70.0","CVE-2016-4606","Exact match (timestamp)","7.5","2020-02-21T02:15:00Z","2019-10-17T20:46:54Z","Icon.Icon_SC_CMCC1.A961A077_4BD0_4C98_86BC_EE4A98CE550D.exe","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/DeviceXPlorer OPC Server 6 (x64).msi:ISSetupFile.SetupFile1:CodeMeterRuntime64.msi:Icon.Icon_SC_CMCC1.A961A077_4BD0_4C98_86BC_EE4A98CE550D.exe","f95f96b0ffb052586366c051df7870d7f816ca41","9.8","AV:N/AC:L/Au:N:/C:P/I:P/A:P","AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2016-4606"
"curl","","7.70.0","CVE-2016-4606","Exact match (timestamp)","7.5","2020-02-21T02:15:00Z","2019-10-17T20:46:54Z","Icon.Icon_SC_CMCC.A961A077_4BD0_4C98_86BC_EE4A98CE550D.exe","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/DeviceXPlorer OPC Server 6 (x64).msi:ISSetupFile.SetupFile1:CodeMeterRuntime64.msi:Icon.Icon_SC_CMCC.A961A077_4BD0_4C98_86BC_EE4A98CE550D.exe","f95f96b0ffb052586366c051df7870d7f816ca41","9.8","AV:N/AC:L/Au:N:/C:P/I:P/A:P","AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2016-4606"
"curl","","7.70.0","CVE-2016-4606","Exact match (timestamp)","7.5","2020-02-21T02:15:00Z","2019-10-17T04:53:02Z","CodeMeter.exe","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/DeviceXPlorer OPC Server 6 (x64).msi:ISSetupFile.SetupFile1:Redist/CodeMeter/Runtime/bin/CodeMeter.exe","f95f96b0ffb052586366c051df7870d7f816ca41","9.8","AV:N/AC:L/Au:N:/C:P/I:P/A:P","AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2016-4606"
"curl","","7.70.0","CVE-2019-15601","Exact match (timestamp)","5.0","2020-01-06T17:15:00Z","2019-10-17T20:46:32Z","Icon.Icon_SC_CMCC1.A961A077_4BD0_4C98_86BC_EE4A98CE550D.exe","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/DeviceXPlorer OPC Server 6 (x64).msi:ISSetupFile.SetupFile1:CodeMeterRuntime32.msi:Icon.Icon_SC_CMCC1.A961A077_4BD0_4C98_86BC_EE4A98CE550D.exe","f95f96b0ffb052586366c051df7870d7f816ca41","7.5","AV:N/AC:L/Au:N:/C:P/I:N/A:N","AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2019-15601"
"curl","","7.70.0","CVE-2019-15601","Exact match (timestamp)","5.0","2020-01-06T17:15:00Z","2019-10-17T20:46:32Z","Icon.Icon_SC_CMCC.A961A077_4BD0_4C98_86BC_EE4A98CE550D.exe","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/DeviceXPlorer OPC Server 6 (x64).msi:ISSetupFile.SetupFile1:CodeMeterRuntime32.msi:Icon.Icon_SC_CMCC.A961A077_4BD0_4C98_86BC_EE4A98CE550D.exe","f95f96b0ffb052586366c051df7870d7f816ca41","7.5","AV:N/AC:L/Au:N:/C:P/I:N/A:N","AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2019-15601"
"curl","","7.70.0","CVE-2019-15601","Exact match (timestamp)","5.0","2020-01-06T17:15:00Z","2019-10-17T20:46:54Z","Icon.Icon_SC_CMCC1.A961A077_4BD0_4C98_86BC_EE4A98CE550D.exe","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/DeviceXPlorer OPC Server 6 (x64).msi:ISSetupFile.SetupFile1:CodeMeterRuntime64.msi:Icon.Icon_SC_CMCC1.A961A077_4BD0_4C98_86BC_EE4A98CE550D.exe","f95f96b0ffb052586366c051df7870d7f816ca41","7.5","AV:N/AC:L/Au:N:/C:P/I:N/A:N","AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2019-15601"
"curl","","7.70.0","CVE-2019-15601","Exact match (timestamp)","5.0","2020-01-06T17:15:00Z","2019-10-17T20:46:54Z","Icon.Icon_SC_CMCC.A961A077_4BD0_4C98_86BC_EE4A98CE550D.exe","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/DeviceXPlorer OPC Server 6 (x64).msi:ISSetupFile.SetupFile1:CodeMeterRuntime64.msi:Icon.Icon_SC_CMCC.A961A077_4BD0_4C98_86BC_EE4A98CE550D.exe","f95f96b0ffb052586366c051df7870d7f816ca41","7.5","AV:N/AC:L/Au:N:/C:P/I:N/A:N","AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2019-15601"
"curl","","7.70.0","CVE-2019-15601","Exact match (timestamp)","5.0","2020-01-06T17:15:00Z","2019-10-17T04:53:02Z","CodeMeter.exe","v6001_DL_64bit.zip:v6001_DL_64bit/OpcServer_x64/DeviceXPlorer OPC Server 6 (x64).msi:ISSetupFile.SetupFile1:Redist/CodeMeter/Runtime/bin/CodeMeter.exe","f95f96b0ffb052586366c051df7870d7f816ca41","7.5","AV:N/AC:L/Au:N:/C:P/I:N/A:N","AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2019-15601"
